Age,Gender,Income_Level,Travel_Companion,Activity_Level,Budget,Target_Destination
31,Female,Low,Family,5,Luxury,Party/Nightlife
26,Female,Low,Group,5,Mid-range,Adventure/Nature
57,Male,Low,Family,4,Mid-range,Cultural/Historical
19,Female,High,Family,4,Luxury,Adventure/Nature
62,Female,Low,Family,3,Luxury,Cultural/Historical
42,Other,Medium,Solo,2,Mid-range,Relaxation/Beach
56,Female,High,Family,1,Mid-range,Relaxation/Beach
26,Other,Low,Group,2,Economical,Cultural/Historical
39,Female,High,Solo,1,Economical,Party/Nightlife
60,Male,High,Family,4,Luxury,Relaxation/Beach
63,Female,High,Group,5,Mid-range,Cultural/Historical
21,Other,Low,Family,2,Mid-range,Relaxation/Beach
43,Female,Medium,Family,5,Mid-range,Party/Nightlife
46,Male,High,Group,2,Mid-range,Cultural/Historical
62,Female,High,Solo,2,Mid-range,Relaxation/Beach
51,Male,Low,Solo,5,Luxury,Cultural/Historical
40,Male,High,Group,3,Economical,Cultural/Historical
54,Male,Medium,Group,4,Luxury,Cultural/Historical
28,Male,Low,Family,3,Mid-range,Cultural/Historical
23,Female,Medium,Family,3,Luxury,Cultural/Historical
35,Male,High,Group,2,Luxury,Cultural/Historical
38,Female,Medium,Family,4,Mid-range,Adventure/Nature
59,Male,Medium,Solo,2,Economical,Cultural/Historical
53,Male,High,Solo,1,Economical,Cultural/Historical
58,Male,Medium,Family,2,Economical,Cultural/Historical
55,Male,Medium,Group,5,Luxury,Cultural/Historical
51,Male,Medium,Group,2,Economical,Cultural/Historical
34,Male,Medium,Group,1,Economical,Relaxation/Beach
54,Female,Medium,Group,2,Mid-range,Cultural/Historical
42,Male,High,Family,1,Mid-range,Relaxation/Beach
55,Male,Medium,Family,4,Mid-range,Cultural/Historical
29,Male,High,Group,2,Mid-range,Cultural/Historical
40,Female,Low,Family,1,Luxury,Relaxation/Beach
59,Other,Low,Family,4,Economical,Cultural/Historical
39,Female,Medium,Solo,5,Mid-range,Adventure/Nature
38,Male,Low,Group,3,Luxury,Cultural/Historical
44,Male,Low,Family,1,Mid-range,Relaxation/Beach
48,Other,Medium,Family,5,Luxury,Cultural/Historical
23,Male,Low,Family,4,Luxury,Adventure/Nature
44,Male,Low,Family,5,Luxury,Relaxation/Beach
57,Male,Medium,Solo,2,Mid-range,Relaxation/Beach
51,Male,Medium,Group,3,Luxury,Cultural/Historical
29,Male,High,Solo,1,Luxury,Relaxation/Beach
62,Female,Medium,Solo,4,Luxury,Cultural/Historical
24,Male,Medium,Family,3,Mid-range,Cultural/Historical
27,Female,High,Family,4,Economical,Adventure/Nature
62,Male,High,Group,5,Mid-range,Cultural/Historical
34,Male,Low,Group,4,Economical,Adventure/Nature
43,Other,Low,Group,4,Mid-range,Party/Nightlife
38,Male,Medium,Solo,5,Mid-range,Adventure/Nature
45,Female,Medium,Solo,5,Luxury,Cultural/Historical
63,Female,High,Family,3,Luxury,Cultural/Historical
19,Male,High,Solo,1,Luxury,Relaxation/Beach
60,Other,Medium,Group,5,Luxury,Cultural/Historical
18,Male,High,Family,3,Luxury,Cultural/Historical
53,Female,Medium,Group,4,Luxury,Cultural/Historical
43,Male,Low,Solo,4,Economical,Relaxation/Beach
46,Female,High,Family,2,Mid-range,Relaxation/Beach
38,Male,Low,Family,5,Mid-range,Adventure/Nature
28,Female,High,Solo,3,Economical,Cultural/Historical
57,Female,High,Family,3,Luxury,Cultural/Historical
28,Other,Medium,Family,1,Economical,Relaxation/Beach
53,Other,Medium,Family,3,Mid-range,Cultural/Historical
56,Female,Medium,Family,5,Economical,Cultural/Historical
57,Female,Medium,Solo,3,Mid-range,Cultural/Historical
52,Male,Medium,Family,2,Mid-range,Relaxation/Beach
51,Male,Medium,Solo,4,Luxury,Cultural/Historical
64,Male,High,Solo,4,Mid-range,Cultural/Historical
41,Male,Medium,Solo,3,Mid-range,Cultural/Historical
39,Male,Low,Solo,3,Luxury,Cultural/Historical
22,Female,Medium,Family,3,Luxury,Cultural/Historical
50,Male,High,Solo,3,Mid-range,Cultural/Historical
53,Female,Medium,Family,2,Economical,Cultural/Historical
64,Male,Medium,Family,5,Economical,Cultural/Historical
37,Male,High,Family,2,Luxury,Relaxation/Beach
36,Female,Medium,Group,2,Mid-range,Cultural/Historical
52,Female,Medium,Family,2,Economical,Cultural/Historical
60,Female,High,Family,4,Economical,Cultural/Historical
34,Female,Low,Group,2,Luxury,Cultural/Historical
62,Male,High,Family,3,Mid-range,Cultural/Historical
60,Female,Low,Family,2,Mid-range,Adventure/Nature
51,Male,Low,Family,3,Mid-range,Cultural/Historical
26,Male,High,Family,5,Economical,Adventure/Nature
43,Male,Low,Group,4,Mid-range,Party/Nightlife
19,Male,High,Solo,5,Mid-range,Adventure/Nature
26,Male,High,Solo,5,Mid-range,Adventure/Nature
26,Other,High,Solo,4,Luxury,Cultural/Historical
57,Other,High,Family,3,Mid-range,Cultural/Historical
34,Male,Low,Solo,3,Luxury,Cultural/Historical
18,Male,High,Family,3,Economical,Cultural/Historical
42,Male,Low,Group,4,Economical,Cultural/Historical
60,Male,Medium,Group,2,Economical,Cultural/Historical
57,Other,High,Family,1,Mid-range,Relaxation/Beach
59,Male,Medium,Group,2,Mid-range,Cultural/Historical
42,Female,Medium,Family,2,Mid-range,Relaxation/Beach
56,Male,Medium,Family,5,Luxury,Cultural/Historical
52,Other,Medium,Group,1,Luxury,Cultural/Historical
20,Male,High,Family,3,Economical,Relaxation/Beach
54,Female,Low,Family,2,Economical,Cultural/Historical
61,Male,Medium,Solo,4,Economical,Cultural/Historical
61,Female,High,Family,2,Luxury,Relaxation/Beach
47,Male,Medium,Group,3,Economical,Cultural/Historical
55,Male,Low,Family,2,Mid-range,Relaxation/Beach
51,Other,Medium,Family,5,Mid-range,Cultural/Historical
29,Other,Medium,Family,5,Economical,Adventure/Nature
36,Female,Low,Group,2,Economical,Cultural/Historical
54,Female,High,Solo,5,Mid-range,Cultural/Historical
61,Female,Medium,Family,4,Economical,Cultural/Historical
34,Male,High,Solo,1,Economical,Adventure/Nature
27,Male,High,Family,2,Mid-range,Relaxation/Beach
64,Male,Medium,Family,4,Mid-range,Cultural/Historical
29,Female,Low,Solo,4,Economical,Adventure/Nature
33,Male,Medium,Family,4,Mid-range,Adventure/Nature
41,Male,Low,Family,3,Economical,Cultural/Historical
36,Female,High,Solo,2,Mid-range,Relaxation/Beach
25,Female,Low,Family,2,Luxury,Relaxation/Beach
48,Male,Low,Solo,2,Luxury,Relaxation/Beach
38,Male,Medium,Family,1,Mid-range,Relaxation/Beach
34,Male,Low,Family,4,Mid-range,Adventure/Nature
40,Male,Low,Family,2,Luxury,Relaxation/Beach
54,Male,Medium,Group,5,Economical,Party/Nightlife
33,Female,Low,Family,3,Mid-range,Cultural/Historical
23,Female,Low,Solo,1,Luxury,Relaxation/Beach
25,Female,Medium,Group,3,Mid-range,Cultural/Historical
42,Male,High,Family,4,Mid-range,Relaxation/Beach
35,Female,Medium,Solo,5,Mid-range,Adventure/Nature
42,Male,Medium,Group,4,Economical,Adventure/Nature
29,Female,Medium,Solo,2,Mid-range,Relaxation/Beach
32,Female,Medium,Family,3,Economical,Cultural/Historical
43,Male,High,Family,5,Economical,Relaxation/Beach
58,Male,Low,Family,3,Economical,Cultural/Historical
62,Female,Medium,Group,1,Mid-range,Cultural/Historical
43,Male,High,Family,5,Economical,Adventure/Nature
64,Female,High,Solo,1,Mid-range,Relaxation/Beach
49,Male,Low,Group,5,Mid-range,Cultural/Historical
27,Female,Low,Group,2,Economical,Cultural/Historical
33,Male,High,Family,3,Economical,Cultural/Historical
24,Male,Low,Family,3,Economical,Cultural/Historical
34,Female,High,Solo,4,Mid-range,Adventure/Nature
40,Male,High,Group,5,Economical,Adventure/Nature
43,Male,High,Solo,5,Mid-range,Party/Nightlife
38,Male,Low,Solo,1,Mid-range,Relaxation/Beach
39,Male,High,Family,5,Mid-range,Adventure/Nature
24,Male,Medium,Solo,3,Luxury,Cultural/Historical
31,Male,High,Solo,5,Mid-range,Adventure/Nature
32,Other,Low,Family,4,Mid-range,Adventure/Nature
24,Male,Low,Solo,4,Luxury,Cultural/Historical
26,Female,Medium,Solo,3,Economical,Cultural/Historical
25,Male,Low,Solo,3,Luxury,Cultural/Historical
40,Male,Medium,Solo,3,Luxury,Cultural/Historical
46,Other,High,Family,5,Economical,Cultural/Historical
35,Male,Medium,Group,5,Luxury,Cultural/Historical
48,Other,High,Family,2,Luxury,Relaxation/Beach
47,Male,Low,Family,1,Luxury,Relaxation/Beach
56,Female,Low,Solo,5,Mid-range,Cultural/Historical
52,Female,Low,Solo,2,Mid-range,Relaxation/Beach
35,Female,Medium,Solo,2,Economical,Cultural/Historical
59,Female,High,Family,4,Mid-range,Cultural/Historical
56,Female,Low,Family,5,Economical,Cultural/Historical
34,Male,Medium,Family,2,Mid-range,Relaxation/Beach
31,Male,Medium,Family,4,Luxury,Cultural/Historical
48,Other,High,Solo,1,Economical,Cultural/Historical
41,Male,Low,Group,4,Luxury,Party/Nightlife
52,Male,Low,Family,1,Economical,Cultural/Historical
61,Female,Low,Family,3,Economical,Cultural/Historical
62,Male,Medium,Family,3,Mid-range,Cultural/Historical
51,Other,Low,Family,4,Economical,Cultural/Historical
20,Female,High,Group,3,Luxury,Cultural/Historical
54,Female,Medium,Group,5,Economical,Cultural/Historical
60,Female,Medium,Family,4,Economical,Cultural/Historical
57,Male,Medium,Family,2,Economical,Cultural/Historical
43,Male,Low,Solo,5,Mid-range,Cultural/Historical
40,Female,Medium,Group,4,Economical,Party/Nightlife
61,Male,High,Family,1,Mid-range,Relaxation/Beach
56,Female,High,Solo,3,Mid-range,Cultural/Historical
32,Other,High,Family,3,Economical,Cultural/Historical
21,Male,High,Solo,3,Economical,Cultural/Historical
46,Male,Low,Family,4,Luxury,Cultural/Historical
39,Other,Low,Family,5,Mid-range,Adventure/Nature
42,Male,Low,Solo,1,Mid-range,Relaxation/Beach
30,Female,Medium,Solo,3,Mid-range,Cultural/Historical
35,Male,Low,Group,5,Luxury,Adventure/Nature
50,Other,Medium,Group,2,Luxury,Cultural/Historical
33,Female,Medium,Group,2,Luxury,Cultural/Historical
62,Female,High,Family,1,Economical,Cultural/Historical
59,Female,High,Group,3,Economical,Cultural/Historical
61,Male,High,Family,2,Mid-range,Relaxation/Beach
19,Male,Low,Solo,5,Luxury,Party/Nightlife
52,Female,Low,Solo,5,Economical,Cultural/Historical
59,Male,Medium,Solo,2,Mid-range,Relaxation/Beach
51,Female,Low,Solo,3,Luxury,Cultural/Historical
47,Other,Low,Group,1,Mid-range,Cultural/Historical
30,Female,Medium,Solo,3,Economical,Cultural/Historical
30,Female,Low,Family,4,Mid-range,Adventure/Nature
35,Female,Medium,Family,2,Economical,Cultural/Historical
49,Female,Medium,Solo,4,Economical,Cultural/Historical
49,Male,Medium,Family,2,Economical,Cultural/Historical
52,Male,Medium,Solo,1,Luxury,Relaxation/Beach
56,Male,Medium,Group,3,Luxury,Cultural/Historical
63,Female,Low,Solo,3,Mid-range,Cultural/Historical
46,Female,Low,Family,2,Mid-range,Relaxation/Beach
46,Female,Medium,Family,5,Mid-range,Cultural/Historical
61,Male,High,Group,4,Economical,Cultural/Historical
33,Female,High,Group,3,Economical,Cultural/Historical
61,Male,Medium,Family,3,Mid-range,Cultural/Historical
64,Female,Low,Family,2,Luxury,Relaxation/Beach
27,Female,Medium,Family,5,Luxury,Adventure/Nature
47,Male,Medium,Group,4,Mid-range,Cultural/Historical
42,Male,Medium,Group,5,Mid-range,Adventure/Nature
56,Female,Medium,Solo,5,Mid-range,Cultural/Historical
37,Female,Medium,Family,2,Mid-range,Relaxation/Beach
22,Male,Medium,Group,5,Mid-range,Adventure/Nature
18,Other,High,Family,4,Luxury,Relaxation/Beach
47,Female,Low,Solo,1,Luxury,Relaxation/Beach
20,Other,High,Family,1,Mid-range,Relaxation/Beach
62,Male,Low,Family,4,Mid-range,Cultural/Historical
31,Female,Low,Group,2,Luxury,Cultural/Historical
47,Female,High,Family,3,Luxury,Cultural/Historical
21,Female,High,Solo,2,Mid-range,Relaxation/Beach
35,Female,Low,Solo,4,Mid-range,Adventure/Nature
54,Male,Medium,Solo,5,Luxury,Cultural/Historical
42,Male,Low,Family,1,Mid-range,Relaxation/Beach
18,Male,Medium,Family,5,Mid-range,Adventure/Nature
63,Male,High,Solo,2,Economical,Cultural/Historical
32,Male,High,Family,4,Luxury,Cultural/Historical
26,Male,Medium,Family,1,Mid-range,Relaxation/Beach
32,Other,Medium,Solo,4,Mid-range,Adventure/Nature
41,Male,Medium,Solo,1,Luxury,Relaxation/Beach
21,Female,Medium,Group,1,Luxury,Adventure/Nature
29,Female,High,Family,1,Luxury,Cultural/Historical
54,Female,High,Group,2,Economical,Cultural/Historical
54,Male,Medium,Family,4,Mid-range,Cultural/Historical
60,Female,Medium,Group,3,Mid-range,Cultural/Historical
23,Female,Low,Group,3,Economical,Cultural/Historical
56,Female,Low,Family,3,Luxury,Cultural/Historical
63,Female,High,Group,4,Luxury,Cultural/Historical
41,Other,Medium,Group,5,Mid-range,Adventure/Nature
28,Female,Medium,Family,4,Economical,Adventure/Nature
30,Male,Medium,Solo,1,Economical,Cultural/Historical
51,Female,High,Family,5,Mid-range,Cultural/Historical
42,Male,Low,Group,1,Economical,Cultural/Historical
24,Female,High,Family,1,Mid-range,Relaxation/Beach
21,Male,High,Solo,4,Mid-range,Adventure/Nature
25,Male,High,Solo,3,Luxury,Cultural/Historical
37,Female,Medium,Family,5,Economical,Adventure/Nature
46,Female,Low,Solo,2,Mid-range,Relaxation/Beach
62,Male,Medium,Family,3,Luxury,Cultural/Historical
63,Female,Medium,Family,2,Mid-range,Relaxation/Beach
27,Female,Low,Family,4,Economical,Adventure/Nature
60,Male,Medium,Solo,5,Economical,Cultural/Historical
51,Female,Medium,Solo,4,Luxury,Cultural/Historical
43,Male,High,Solo,2,Luxury,Relaxation/Beach
58,Female,Low,Solo,1,Luxury,Relaxation/Beach
20,Female,Medium,Family,4,Economical,Adventure/Nature
23,Male,High,Family,5,Luxury,Relaxation/Beach
22,Male,High,Solo,4,Mid-range,Adventure/Nature
22,Male,High,Solo,3,Economical,Cultural/Historical
64,Female,High,Solo,4,Luxury,Relaxation/Beach
40,Female,High,Group,2,Mid-range,Cultural/Historical
26,Female,Medium,Family,4,Luxury,Adventure/Nature
52,Male,Medium,Group,5,Luxury,Cultural/Historical
37,Male,Low,Group,4,Mid-range,Adventure/Nature
59,Male,Low,Family,4,Mid-range,Cultural/Historical
52,Male,Low,Family,5,Mid-range,Cultural/Historical
35,Female,Low,Solo,4,Luxury,Party/Nightlife
34,Female,Low,Family,5,Mid-range,Adventure/Nature
41,Female,Low,Solo,2,Luxury,Relaxation/Beach
20,Male,Low,Group,5,Economical,Adventure/Nature
49,Other,High,Solo,2,Mid-range,Relaxation/Beach
52,Female,Low,Group,2,Mid-range,Cultural/Historical
55,Other,High,Solo,5,Economical,Cultural/Historical
30,Female,Low,Group,4,Luxury,Relaxation/Beach
64,Male,High,Solo,3,Economical,Cultural/Historical
42,Male,High,Family,5,Economical,Adventure/Nature
26,Female,Medium,Family,4,Economical,Adventure/Nature
21,Male,Medium,Family,2,Mid-range,Relaxation/Beach
31,Male,Low,Family,1,Mid-range,Relaxation/Beach
54,Female,High,Group,3,Luxury,Cultural/Historical
51,Female,High,Solo,4,Mid-range,Cultural/Historical
28,Female,High,Group,3,Mid-range,Cultural/Historical
58,Male,Medium,Family,1,Mid-range,Relaxation/Beach
20,Male,Medium,Group,1,Economical,Cultural/Historical
45,Female,High,Family,1,Mid-range,Relaxation/Beach
46,Other,Low,Family,5,Mid-range,Cultural/Historical
26,Female,Medium,Group,3,Economical,Cultural/Historical
20,Other,Low,Family,5,Economical,Adventure/Nature
42,Female,High,Family,1,Mid-range,Relaxation/Beach
51,Female,Low,Solo,4,Luxury,Cultural/Historical
29,Male,Low,Solo,1,Economical,Cultural/Historical
59,Female,Medium,Family,5,Economical,Cultural/Historical
26,Female,High,Family,1,Economical,Cultural/Historical
32,Female,Medium,Family,1,Luxury,Relaxation/Beach
57,Female,Low,Solo,5,Luxury,Cultural/Historical
42,Female,Low,Family,5,Economical,Adventure/Nature
22,Male,High,Family,4,Economical,Adventure/Nature
28,Female,High,Family,5,Luxury,Cultural/Historical
51,Male,High,Group,4,Economical,Cultural/Historical
41,Female,Medium,Group,2,Luxury,Cultural/Historical
32,Male,High,Solo,2,Economical,Cultural/Historical
55,Male,Medium,Group,5,Economical,Cultural/Historical
25,Male,Medium,Family,1,Mid-range,Relaxation/Beach
22,Female,Medium,Family,3,Mid-range,Cultural/Historical
43,Male,Medium,Solo,1,Luxury,Relaxation/Beach
35,Male,High,Family,5,Luxury,Cultural/Historical
23,Female,Medium,Solo,4,Mid-range,Adventure/Nature
54,Male,Medium,Family,1,Mid-range,Relaxation/Beach
30,Other,Low,Solo,2,Luxury,Relaxation/Beach
45,Other,Low,Solo,5,Mid-range,Cultural/Historical
22,Female,Medium,Solo,1,Economical,Relaxation/Beach
30,Male,Low,Solo,1,Economical,Party/Nightlife
34,Female,Low,Solo,4,Economical,Adventure/Nature
57,Male,Medium,Family,4,Luxury,Cultural/Historical
62,Female,Medium,Solo,4,Mid-range,Cultural/Historical
49,Male,High,Family,3,Economical,Cultural/Historical
46,Other,Medium,Solo,5,Luxury,Cultural/Historical
20,Male,High,Group,5,Economical,Adventure/Nature
57,Female,High,Group,2,Mid-range,Cultural/Historical
51,Female,High,Solo,2,Luxury,Relaxation/Beach
57,Female,Medium,Family,5,Mid-range,Cultural/Historical
44,Male,Medium,Solo,1,Economical,Cultural/Historical
30,Other,High,Group,5,Mid-range,Adventure/Nature
62,Female,Low,Family,3,Luxury,Cultural/Historical
50,Female,Low,Solo,2,Mid-range,Relaxation/Beach
23,Male,Medium,Solo,2,Economical,Adventure/Nature
41,Female,Low,Solo,2,Economical,Cultural/Historical
36,Male,High,Family,5,Luxury,Relaxation/Beach
33,Male,Medium,Family,2,Mid-range,Relaxation/Beach
57,Male,Medium,Family,2,Luxury,Relaxation/Beach
45,Female,Medium,Family,5,Mid-range,Cultural/Historical
50,Male,Medium,Solo,1,Mid-range,Relaxation/Beach
58,Male,Low,Solo,2,Luxury,Relaxation/Beach
30,Female,Medium,Solo,2,Economical,Cultural/Historical
60,Female,High,Group,2,Economical,Cultural/Historical
62,Male,Medium,Solo,3,Mid-range,Relaxation/Beach
42,Female,High,Family,5,Economical,Relaxation/Beach
59,Male,Low,Solo,2,Mid-range,Relaxation/Beach
53,Male,Low,Solo,3,Luxury,Cultural/Historical
44,Male,Low,Family,1,Luxury,Relaxation/Beach
55,Female,Medium,Family,1,Mid-range,Relaxation/Beach
24,Male,High,Family,3,Luxury,Cultural/Historical
22,Male,High,Family,1,Economical,Adventure/Nature
60,Male,Medium,Family,4,Mid-range,Cultural/Historical
62,Female,Medium,Solo,1,Mid-range,Cultural/Historical
48,Male,High,Family,4,Mid-range,Cultural/Historical
40,Male,Low,Family,3,Economical,Cultural/Historical
59,Male,Low,Solo,4,Luxury,Cultural/Historical
27,Male,High,Family,1,Luxury,Relaxation/Beach
49,Female,Medium,Solo,2,Mid-range,Relaxation/Beach
60,Female,High,Solo,4,Economical,Cultural/Historical
47,Male,Medium,Family,1,Mid-range,Relaxation/Beach
56,Male,High,Group,2,Luxury,Adventure/Nature
48,Male,Low,Group,3,Mid-range,Relaxation/Beach
35,Male,Low,Solo,3,Mid-range,Cultural/Historical
53,Male,Medium,Family,5,Luxury,Cultural/Historical
19,Female,Medium,Family,3,Mid-range,Cultural/Historical
31,Other,Low,Solo,5,Mid-range,Adventure/Nature
30,Other,Low,Group,3,Mid-range,Cultural/Historical
46,Female,Low,Family,3,Mid-range,Cultural/Historical
29,Female,High,Group,3,Mid-range,Cultural/Historical
56,Female,Medium,Solo,5,Mid-range,Cultural/Historical
19,Male,Low,Solo,5,Mid-range,Adventure/Nature
49,Female,Low,Group,4,Economical,Cultural/Historical
30,Female,Low,Family,1,Economical,Relaxation/Beach
63,Female,Medium,Group,1,Mid-range,Cultural/Historical
44,Female,Low,Solo,1,Economical,Adventure/Nature
58,Male,High,Family,3,Luxury,Relaxation/Beach
34,Male,Low,Family,1,Mid-range,Relaxation/Beach
57,Other,Low,Solo,5,Mid-range,Cultural/Historical
48,Male,High,Family,4,Economical,Party/Nightlife
51,Female,High,Family,2,Economical,Cultural/Historical
41,Other,Low,Solo,4,Mid-range,Adventure/Nature
62,Female,High,Solo,1,Luxury,Relaxation/Beach
52,Female,Medium,Family,1,Mid-range,Relaxation/Beach
23,Male,High,Family,5,Luxury,Relaxation/Beach
36,Male,Medium,Group,4,Economical,Adventure/Nature
47,Female,Medium,Solo,5,Economical,Cultural/Historical
24,Female,High,Solo,5,Luxury,Adventure/Nature
27,Female,Low,Group,2,Mid-range,Cultural/Historical
58,Male,Medium,Group,5,Mid-range,Cultural/Historical
49,Male,Medium,Solo,5,Economical,Cultural/Historical
51,Other,Low,Group,2,Economical,Relaxation/Beach
45,Male,Low,Solo,3,Mid-range,Cultural/Historical
32,Female,Low,Solo,3,Luxury,Cultural/Historical
47,Male,Medium,Solo,2,Economical,Cultural/Historical
54,Female,Medium,Solo,5,Luxury,Cultural/Historical
46,Other,Medium,Group,1,Economical,Cultural/Historical
39,Female,Low,Family,4,Mid-range,Adventure/Nature
21,Male,Medium,Group,1,Economical,Adventure/Nature
37,Female,High,Family,1,Mid-range,Relaxation/Beach
49,Female,Medium,Family,5,Economical,Cultural/Historical
53,Male,Medium,Family,4,Economical,Cultural/Historical
21,Female,High,Group,4,Luxury,Adventure/Nature
44,Female,High,Family,3,Luxury,Cultural/Historical
34,Female,Medium,Group,2,Luxury,Cultural/Historical
29,Female,High,Group,5,Economical,Adventure/Nature
39,Male,Medium,Solo,4,Luxury,Relaxation/Beach
34,Male,High,Family,5,Mid-range,Adventure/Nature
27,Male,Low,Group,3,Luxury,Cultural/Historical
18,Other,Low,Group,1,Economical,Party/Nightlife
39,Female,Low,Solo,4,Economical,Adventure/Nature
43,Female,High,Family,3,Luxury,Cultural/Historical
35,Male,Medium,Family,5,Mid-range,Adventure/Nature
31,Male,Low,Solo,3,Luxury,Cultural/Historical
64,Female,Low,Family,3,Mid-range,Cultural/Historical
46,Female,High,Solo,3,Mid-range,Cultural/Historical
29,Male,High,Solo,3,Luxury,Adventure/Nature
53,Female,Medium,Family,3,Mid-range,Cultural/Historical
52,Male,Medium,Family,3,Luxury,Cultural/Historical
29,Male,Medium,Family,2,Economical,Cultural/Historical
24,Female,Medium,Family,5,Economical,Adventure/Nature
46,Male,High,Solo,1,Economical,Cultural/Historical
28,Other,Low,Solo,5,Mid-range,Adventure/Nature
50,Male,Medium,Solo,4,Luxury,Cultural/Historical
23,Male,Medium,Solo,4,Mid-range,Adventure/Nature
64,Male,Medium,Family,5,Mid-range,Cultural/Historical
32,Female,Medium,Group,3,Luxury,Cultural/Historical
49,Male,Medium,Solo,2,Economical,Cultural/Historical
28,Female,Low,Solo,1,Luxury,Relaxation/Beach
40,Male,Medium,Family,3,Luxury,Cultural/Historical
43,Male,Low,Solo,5,Economical,Adventure/Nature
51,Male,Low,Group,5,Economical,Cultural/Historical
63,Female,Low,Family,2,Economical,Cultural/Historical
51,Female,High,Solo,2,Luxury,Relaxation/Beach
46,Male,Medium,Solo,5,Economical,Cultural/Historical
21,Female,Medium,Family,3,Luxury,Cultural/Historical
34,Other,High,Solo,3,Mid-range,Cultural/Historical
52,Male,Medium,Solo,3,Luxury,Cultural/Historical
30,Female,Medium,Solo,1,Luxury,Relaxation/Beach
58,Male,Medium,Group,1,Luxury,Cultural/Historical
56,Other,Medium,Family,3,Economical,Cultural/Historical
32,Female,Medium,Solo,5,Economical,Adventure/Nature
46,Other,Medium,Family,2,Economical,Cultural/Historical
46,Female,High,Family,4,Mid-range,Cultural/Historical
28,Male,High,Family,2,Mid-range,Relaxation/Beach
49,Other,Low,Solo,2,Luxury,Relaxation/Beach
19,Male,Low,Family,4,Luxury,Cultural/Historical
64,Male,Medium,Group,3,Economical,Relaxation/Beach
31,Female,Medium,Solo,2,Luxury,Relaxation/Beach
37,Female,Low,Solo,4,Economical,Cultural/Historical
39,Other,High,Solo,5,Economical,Adventure/Nature
28,Male,Low,Solo,5,Luxury,Relaxation/Beach
44,Female,High,Family,5,Luxury,Relaxation/Beach
20,Female,High,Group,3,Economical,Cultural/Historical
34,Male,High,Group,2,Luxury,Cultural/Historical
61,Male,Low,Solo,2,Luxury,Relaxation/Beach
45,Male,Low,Family,1,Economical,Cultural/Historical
46,Male,Medium,Family,5,Economical,Cultural/Historical
38,Other,Low,Family,3,Luxury,Cultural/Historical
64,Female,Medium,Family,4,Luxury,Cultural/Historical
33,Female,Medium,Solo,3,Mid-range,Cultural/Historical
54,Other,Low,Family,2,Economical,Cultural/Historical
37,Male,Low,Family,5,Mid-range,Adventure/Nature
23,Female,High,Group,1,Luxury,Adventure/Nature
36,Male,Low,Group,3,Mid-range,Cultural/Historical
22,Female,Low,Solo,1,Economical,Relaxation/Beach
20,Male,Medium,Solo,2,Luxury,Relaxation/Beach
18,Other,High,Group,4,Mid-range,Adventure/Nature
55,Male,Medium,Family,3,Luxury,Cultural/Historical
32,Male,Low,Group,2,Luxury,Cultural/Historical
51,Female,Medium,Solo,5,Luxury,Cultural/Historical
52,Male,High,Family,3,Luxury,Cultural/Historical
42,Female,High,Family,1,Luxury,Relaxation/Beach
41,Male,Medium,Group,3,Mid-range,Cultural/Historical
29,Female,Medium,Solo,2,Luxury,Relaxation/Beach
35,Male,Medium,Solo,2,Mid-range,Cultural/Historical
32,Male,Low,Family,1,Mid-range,Relaxation/Beach
61,Male,Medium,Group,2,Economical,Cultural/Historical
33,Female,High,Group,3,Mid-range,Cultural/Historical
44,Male,High,Group,1,Economical,Cultural/Historical
25,Male,Low,Group,2,Mid-range,Cultural/Historical
63,Male,Low,Solo,2,Economical,Cultural/Historical
42,Male,Medium,Solo,3,Luxury,Party/Nightlife
34,Female,High,Solo,2,Mid-range,Relaxation/Beach
46,Female,High,Solo,3,Economical,Cultural/Historical
25,Male,Low,Group,5,Mid-range,Party/Nightlife
32,Female,Low,Group,3,Economical,Cultural/Historical
44,Female,Medium,Solo,4,Luxury,Party/Nightlife
63,Male,Medium,Family,2,Mid-range,Relaxation/Beach
24,Female,High,Group,5,Mid-range,Adventure/Nature
20,Male,Medium,Family,1,Luxury,Relaxation/Beach
46,Female,High,Solo,4,Mid-range,Cultural/Historical
61,Male,Medium,Family,1,Luxury,Relaxation/Beach
41,Female,High,Family,4,Mid-range,Relaxation/Beach
20,Female,Medium,Family,5,Mid-range,Adventure/Nature
37,Male,High,Family,5,Mid-range,Adventure/Nature
63,Male,Low,Solo,5,Economical,Cultural/Historical
32,Other,Medium,Group,4,Economical,Adventure/Nature
42,Male,Low,Family,3,Economical,Cultural/Historical
47,Female,Medium,Family,1,Luxury,Relaxation/Beach
31,Other,Medium,Group,3,Luxury,Cultural/Historical
24,Female,Low,Solo,3,Economical,Cultural/Historical
34,Female,High,Solo,2,Economical,Cultural/Historical
61,Female,Low,Group,1,Luxury,Cultural/Historical
37,Female,High,Solo,4,Economical,Adventure/Nature
53,Female,High,Group,2,Mid-range,Cultural/Historical
26,Female,Low,Solo,2,Mid-range,Relaxation/Beach
55,Male,Medium,Solo,5,Luxury,Cultural/Historical
39,Other,Low,Family,4,Economical,Adventure/Nature
19,Female,Low,Solo,3,Luxury,Cultural/Historical
41,Male,Medium,Group,3,Mid-range,Cultural/Historical
25,Female,High,Family,3,Economical,Cultural/Historical
28,Female,Low,Group,5,Mid-range,Adventure/Nature
30,Male,Medium,Group,3,Mid-range,Cultural/Historical
